Chemical System	Reaction	%A	%B	%C	Temperature, °C  	Reaction type   
Dy-Ir  	L + Dy5Ir2 = Dy3Ir  	15  	28.6  	15  	1430  	Peritectic  
Dy-Ir  	L + Dy5Ir3 = Dy5Ir2  	24  	37.5  	28.6  	1580  	Peritectic  
Dy-Ir  	L + Dy3Ir2 = Dy5Ir3  	28  	40  	37.5  	1680  	Peritectic  
Dy-Ir  	L + DyIr2 = Dy3Ir2  	35  	65  	40  	1780  	Peritectic  
Dy-Ir  	L = DyIr2  	 	66.7  	 	2400  	Congruent  
Dy-Ir  	L = DyIr2 + (Ir)  	85  	68.5  	100  	2050  	Eutectic  
Dy-La  	(Dy ht,La ht2) = (La) rt + (La) ht1  	91  	86  	95  	860  	Eutectoid  
Dy-Lu  	L + (Dy rt,Lu) = (Dy) ht  	16  	16  	16  	1430  	Peritectic  
Dy-Mg  	(Dy) ht = (Dy) rt + MgDy  	30  	13  	46  	690  	Eutectoid  
Dy-Mg  	L = (Dy) ht = MgDy  	58  	39  	49.5  	860  	Peritectic  
Dy-Mg  	L + MgDy = Mg2Dy  	77  	55  	66  	710  	Peritectic  
Dy-Mg  	Mg2Dy + Dy5Mg24 = Mg3Dy  	69  	82  	75  	520  	Peritectoid  
Dy-Mg  	L + Mg2Dy = Mg24Dy5  	85  	69  	82.5  	600  	Peritectic  
Dy-Mg  	L = Mg24Dy5 + (Mg)  	90  	85  	95.17  	560  	Eutectic  
Dy-Mn  	L + (Dy) ht + (Dy) rt  	2  	0  	0  	1384  	unknown  
Dy-Mn  	L = (Dy) rt + DyMn2  	28.7  	0  	66.7  	855  	Eutectic  
Dy-Mn  	L + Dy6Mn23 = DyMn2  	37  	79.3  	66.7  	930  	Peritectic  
Dy-Mn  	L + DyMn12 = Dy6Mn23  	57  	92.3  	79.3  	1035  	Peritectic  
Dy-Mn  	L + (Mn) ht1 = DyMn12  	85  	99  	92.3  	1075  	Peritectic  
Dy-Mn  	(Mn) ht3 = L + (Mn) ht2  	98.5  	88  	99  	1120  	Catatectic  
Dy-Mn  	(Mn) ht2 = L + (Mn) ht1  	99  	84  	99  	4075  	Catatectic  
Dy-Mn  	(Mn) ht1 = DyMn12 + (Mn) rt  	99.5  	92.3  	99.5  	710  	Eutectoid  
Dy-Mo  	L1 = (Dy) ht + (Mo)  	2  	1  	100  	1377  	Eutectic  
Dy-Mo  	(Dy) ht = (Dy) rt + (Mo)  	1  	0.6  	100  	1370  	Eutectoid  
Dy-Ni  	L + DyNi3 = DyNi2 rt  	62  	75  	66.7  	1258  	Peritectic  
Dy-Ni  	L + Dy2Ni7 = DyNi3  	63  	77.8  	75  	1283  	Peritectic  
Dy-Ni  	L + DyNi4 = Dy2Ni7  	65  	80  	77.8  	1307  	Peritectic  
Dy-Ni  	L + Dy4Ni17 = DyNi4  	68  	81  	80  	1336  	Peritectic  
Dy-Ni  	L + DyNi5 = Dy4Ni17  	70  	83.3  	80  	1350  	Peritectic  
Dy-Ni  	L = DyNi5  	 	83.3  	 	1387  	Congruent  
Dy-Ni  	L + DyNi5 = Dy2Ni17  	91  	83.3  	89.5  	1321  	Peritectic  
Dy-Ni  	L = Dy2Ni17 + (Ni)  	93  	89.5  	100  	1279  	Eutectic  
Dy-Ni  	L + (Dy) ht + (Dy) rt  	2.5  	0  	0  	1381  	unknown  
Dy-Ni  	L + (Dy) rt = Dy3Ni  	27  	0  	25  	762  	Peritectic  
Dy-Ni  	L = DyNi  	 	50  	 	1248  	Congruent  
Dy-Ni  	L = DyNi + DyNi2 rt  	56  	50  	66.7  	1173  	Eutectic  
Dy-Ni  	L = Dy3Ni + Dy3Ni2  	31  	25  	40  	693  	Eutectic  
Dy-Ni  	L + DyNi = Dy3Ni2  	34  	50  	40  	928  	Peritectic  
Dy-Pb  	(Dy) ht = L + (Dy) rt  	1.3  	4  	1  	1360  	Catatectic  
Dy-Pb  	L = (Dy) rt + Dy5Pb3  	13.3  	1  	37.5  	1200  	Eutectic  
Dy-Pb  	L = Dy5Pb3  	 	38.5  	 	1695  	Congruent  
Dy-Pb  	L + Dy5Pb3 = Dy5Pb4  	48  	39.5  	44.4  	1555  	Peritectic  
Dy-Pb  	L + Dy5Pb4 = DyPb ht  	53  	44.4  	50  	1440  	Peritectic  
Dy-Pb  	DyPb ht = L + Dy5Pb4  	50  	62  	44.4  	1130  	Catatectic  
Dy-Pb  	L + Dy5Pb4 = DyPb2  	71  	44.4  	66.7  	955  	Peritectic  
Dy-Pb  	L + DyPb2 = DyPb3  	87  	66.7  	75  	880  	Peritectic  
Dy-Pb  	L = DyPb3 + (Pb)  	100  	75  	100  	326  	Eutectic  
Dy-Pd  	L + (Dy) ht + (Dy) rt  	2.5  	0  	0  	1381  	unknown  
Dy-Pd  	L = (Dy) rt + Dy2.1Pb0.9  	23.5  	0  	28.6  	863  	Eutectic  
Dy-Pd  	L = Dy2.1Pb0.9  	 	28.6  	 	895  	Congruent  
Dy-Pd  	L = Dy2.1Pb0.9 + Dy3Pb2  	31  	28.6  	40  	880  	Eutectic  
Dy-Pd  	L = DyPd ht  	 	50  	 	1450  	Congruent  
Dy-Pd  	Dy3Pd2 + DyPd ht = DyPd rt  	40  	50  	50  	798  	Peritectoid  
Dy-Pd  	DyPd ht = DyPd rt + Dy3Pd4  	51  	51  	57.1  	770  	Eutectoid  
Dy-Pd  	L = DyPd ht + Dy3Pd4  	53  	51  	57.1  	1365  	Eutectic  
Dy-Pd  	L = Dy3Pd4  	 	57.1  	 	1400  	Eutectic  
Dy-Pd  	L + Dy3Pd4 = Dy2Pd3 ht  	62.5  	57.1  	60  	1245  	Peritectic  
Dy-Pd  	Dy2Pd3 ht = Dy2Pd3 rt  	 	60  	 	1115  	Congruent  
Dy-Pd  	L = Dy2Pd3 ht + DyPd2  	63.5  	60  	66.7  	1225  	Eutectic  
Dy-Pd  	L + DyPd3 = DyPd2  	65.5  	75  	66.7  	1295  	Peritectic  
Dy-Pd  	L = DyPd3  	 	75  	 	1710  	Congruent  
Dy-Pd  	L = DyPd3 + (Pd)  	85  	79  	87.7  	1217  	Eutectic  
Dy-Pd  	DyPd3 + (Pd) = DyPd7  	76  	90  	87.5  	494  	Peritectoid  
Dy-Pt  	L + (Dy) ht + (Dy) rt  	2  	0  	0  	1381  	unknown  
Dy-Pt  	L = (Dy) rt + Dy3Pt  	18  	0  	25  	1040  	Eutectic  
Dy-Pt  	L + Dy2Pt = Dy3Pt  	21  	33.3  	25  	1180  	Peritectic  
Dy-Pt  	L + Dy5Pt4 = Dy5Pt3  	34  	44.4  	37.5  	1500  	Peritectic  
Dy-Pt  	L + DyPt = Dy5Pt4  	40  	50  	44.4  	1600  	Peritectic  
Dy-Pt  	L = DyPt  	 	50  	 	1700  	Congruent  
Dy-Pt  	L + DyPt = Dy3Pt4  	59  	50  	57.1  	1650  	Peritectic  
Dy-Pt  	L = Dy3Pt4 + DyPt2  	63  	57.1  	66.7  	1610  	Eutectic  
Dy-Pt  	L + DyPt3 = DyPt2  	66  	75  	66.7  	1750  	Peritectic  
Dy-Pt  	L = DyPt3  	 	75  	 	1830  	Congruent  
Dy-Pt  	L + DyPt3 = DyPt5  	85  	75  	83.3  	1700  	Peritectic  
Dy-Pt  	L = DyPt5 + (Pt)  	91  	83.3  	100  	1550  	Eutectic  
Dy-Pt  	L + Dy5Pt3 = Dy2Pt  	31  	37.5  	33.3  	1450  	Peritectic  
Dy-Pu  	L1 = L2 + (Dy) ht  	33  	86  	30  	1360  	Monotectic  
Dy-Pu  	(Dy) ht = L2 + (Dy) rt  	30  	87  	28  	1320  	Catatectic  
Dy-Pu  	L2 + (Dy) rt = (Pu) ht5  	99  	15  	97  	650  	Peritectic  
Dy-Pu  	(Dy) rt + (Pu) ht5 + (Pu) ht4  	10  	100  	100  	483  	unknown  
Dy-Pu  	(Dy) rt + (Pu) ht4 + (Pu) ht3  	9.5  	100  	100  	463  	unknown  
Dy-Pu  	(Dy) rt + (Pu) ht3 + (Pu) ht2  	8  	100  	100  	320  	unknown  
Dy-Pu  	(Dy) rt + (Pu) ht2 + (Pu) ht1  	6  	100  	100  	215  	unknown  
Dy-Pu  	(Dy) rt + (Pu) ht1 + (Pu) rt  	5  	100  	100  	125  	unknown  
Dy-Rh  	L + (Dy) ht + (Dy) rt  	2  	0  	0  	1381  	unknown  
Dy-Rh  	L = (Dy) rt + Dy3Rh  	11  	1  	25  	1120  	Eutectic  
Dy-Rh  	L = Dy3Rh  	 	25  	 	1470  	Congruent  
Dy-Rh  	L = Dy3Rh + Dy7Rh3  	27.5  	25  	30  	1420  	Eutectic  
Dy-Rh  	L = Dy7Rh3  	 	70  	 	1470  	Congruent  
Dy-Rh  	L = Dy7Rh3 + Dy5Rh3 ht  	34  	30  	37.5  	1400  	Eutectic  
Dy-Rh  	L + Dy3Rh2 = Dy5Rh3 ht  	36  	40  	37.5  	1500  	Peritectic  
Dy-Rh  	Dy5Rh3 ht = Dy5Rh3 rt  	 	37.5  	 	900  	Polymorphic  
Dy-Rh  	L = Dy3Rh2  	 	40  	 	1570  	Congruent  
Dy-Rh  	L + Dy3Rh2 = DyRh  	56  	40  	50  	1480  	Peritectic  
Dy-Rh  	L = DyRh + DyRh2  	58  	50  	66.7  	1450  	Eutectic  
Dy-Rh  	L = DyRh2  	 	67  	 	1580  	Congruent  
Dy-Rh  	L = DyRh2 + DyRh5 ht  	76  	68  	83.8  	1460  	Eutectic  
Dy-Rh  	L = DyRh5 ht  	 	83.8  	 	1580  	Congruent  
Dy-Rh  	DyRh5 ht = DyRh2 + (Rh)  	83.8  	68  	100  	900  	Eutectoid  
Dy-Rh  	L = DyRh5 ht + (Rh)  	91  	83.8  	100  	1490  	Eutectic  
Dy-Ru  	L + (Dy) ht + (Dy) rt  	2  	0  	0  	1381  	unknown  
Dy-Ru  	(Dy) rt + Dy3Ru  	18  	0  	25  	990  	Eutectic  
Dy-Ru  	L + Dy5Ru2 = Dy3Ru  	22  	28.6  	25  	1115  	Peritectic  
Dy-Ru  	L = Dy5Ru2  	 	28.6  	 	1150  	Congruent  
Dy-Ru  	L = DyRu2  	 	66.7  	 	1800  	Congruent  
Dy-Ru  	L = DyRu2 + (Ru)  	79  	66.7  	100  	1730  	Eutectic  
Dy-Ru  	L = Dy5Ru2 + Dy44Ru25  	30  	28.6  	37.5  	1090  	Eutectic  
Dy-Ru  	L + DyRu2 = Dy44Ru25  	32  	66.7  	37.5  	1138  	Peritectic  
Dy-S  	L = (Dy) rt + DyS rt  	2  	0  	50  	1300  	Eutectic  
Dy-S  	L = DyS rt  	 	50  	 	2370  	Congruent  
Dy-S  	L = DyS rt + Dy5S7  	58  	50  	58.3  	1750  	Eutectic  
Dy-S  	L = Dy5S7  	 	58.3  	 	1840  	Congruent  
Dy-S  	L = Dy5S7 + Dy2S3 ht2  	59  	58.3  	59.5  	1660  	Eutectic  
Dy-S  	L = Dy2S3 ht2  	 	60  	 	1775  	Congruent  
Dy-S  	Dy2S3 ht2 = Dy2S3 ht1  	 	60  	 	1470  	Polymorphic  
Dy-S  	Dy2S3 ht1 = Dy2S3 rt  	 	60  	 	950  	Polymorphic  
Dy-S  	L + (Dy) ht + (Dy) rt  	1.5  	0  	0  	1381  	unknown  
Dy-Sb  	L + (Dy) ht + (Dy) rt  	8  	0  	0  	1381  	unknown  
Dy-Sb  	L = (Dy) rt + Dy5Sb3  	14.5  	1  	37.5  	1150  	Eutectic  
Dy-Sb  	L + Dy4Sb3 ht = Dy5Sb3  	31  	42.9  	37.5  	1680  	Peritectic  
Dy-Sb  	L + DySb rt = Dy4Sb3 ht  	34.5  	50  	42.9  	1780  	Peritectic  
Dy-Sb  	Dy4Sb3 ht = Dy4Sb3 rt  	 	42.9  	 	1630  	Polymorphic  
Dy-Sb  	L = DySb ht  	 	50  	 	2170  	Congruent  
Dy-Sb  	DySb ht = DySb rt  	 	50  	 	1890  	Polymorphic  
Dy-Sb  	L = DySb rt + (Sb)  	99  	50  	100  	622  	Eutectic  
Dy-Si  	L + (Dy) ht + (Dy) rt  	2  	0  	0  	1381  	unknown  
Dy-Si  	L = (Dy) rt + Dy5Si3  	12.5  	0  	37.5  	1180  	Eutectic  
Dy-Si  	L = Dy5Si3  	 	37.5  	 	1880  	Congruent  
Dy-Si  	L + Dy5Si3 = Dy5Si4  	45  	37.5  	44.4  	1830  	Peritectic  
Dy-Si  	L = Dy5Si4 + DySi rt  	46  	44.4  	50  	1805  	Eutectic  
Dy-Si  	Dy5Si4 + DySi rt = DySi ht  	44.4  	50  	49.5  	1780  	Peritectoid  
Dy-Si  	DySi ht = Dy5Si4 + DySi rt  	49.5  	44.4  	50  	800  	Eutectoid  
Dy-Si  	L = DySi rt  	 	50  	 	1890  	Congruent  
Dy-Si  	DySi rt + DySi1.6 ht = Dy4Si5  	50  	62.5  	55.6  	1350  	Peritectoid  
Dy-Si  	L + DySi rt = DySi1.6 ht  	64  	50  	62.5  	1635  	Peritectic  
Dy-Si  	DySi1.6 ht = DySi1.6 rt  	 	62.5  	 	760  	Polymorphic  
Dy-Si  	L + DySi1.6 ht = DySi1.75 ht  	73  	62.5  	64.5  	1430  	Peritectic  
Dy-Si  	DySi1.75 ht = DySi1.75 rt  	 	62.5  	 	540  	Polymorphic  
Dy-Si  	L = DySi1.75 ht + (Si)  	76  	62.5  	100  	1215  	 
Dy-Sn  	(Dy) ht = L + (Dy) rt  	2  	4  	1  	1380  	Catatectic  
Dy-Sn  	L = (Dy) rt + Dy5Sn3 rt  	13  	3  	37.5  	1204  	Eutectic  
Dy-Sn  	L = Dy5Sn3 ht  	 	37.5  	 	1870  	Congruent  
Dy-Sn  	Dy5Sn3 ht = Dy5Sn3 rt  	 	37.5  	 	1823  	Polymorphic  
Dy-Sn  	L + DySn = Dy4Sn5  	63  	50  	55.6  	1166  	Peritectic  
Dy-Sn  	L + Dy4Sn5 = DySn2  	69  	55.6  	66.7  	1138  	Peritectic  
Dy-Sn  	L + DySn2 = Dy3Sn7 ht  	94  	66.7  	70  	745  	Peritectic  
Dy-Sn  	L + Dy5Sn3 rt = Dy5Sn4  	47  	37.5  	44.4  	1712  	Peritectic  
Dy-Sn  	L + Dy5Sn4 = Dy11Sn10  	51.5  	44.4  	47.6  	1605  	Peritectic  
Dy-Sn  	L + Dy11Sn10 = DySn  	62.5  	47.6  	50  	1208  	Peritectic  
Dy-Sn  	Dy3Sn7 ht = Dy3Sn7 rt  	 	70  	 	605  	Polymorphic  
Dy-Sn  	L + Dy3Sn7 rt = DySn3  	98  	70  	75  	470  	Peritectic  
Dy-Sn  	L = DySn3 + (Sn)  	99.5  	75  	99.5  	230  	Eutectic  
Dy-Ta  	L = (Dy) ht + (Ta)  	0.14  	0  	100  	1409  	Eutectic  
Dy-Ta  	(Dy) ht + (Dy) rt + (Ta)  	0  	0  	100  	1381  	unknown  
Dy-Te  	L = (Dy) ht + DyTe  	3  	0  	50  	1385  	Eutectic  
Dy-Te  	(Dy) ht + (Dy) rt + DyTe  	0  	0  	50  	1381  	unknown  
Dy-Te  	L = DyTe  	 	50  	 	1850  	Congruent  
Dy-Te  	L = DyTe + Dy2Te3  	54  	50  	55.5  	1540  	Eutectic  
Dy-Te  	L = Dy2Te3  	 	55.5  	 	1570  	Congruent  
Dy-Te  	L + Dy2Te3 = DyTe1.7  	64  	60  	63.6  	1230  	Peritectic  
Dy-Te  	L + DyTe1.7 = Dy2Te4.5  	85.5  	63.6  	69.2  	920  	Peritectic  
Dy-Te  	L + Dy2Te4.5 = DyTe2.75  	89  	69.2  	73.3  	855  	Peritectic  
Dy-Te  	L = DyTe2.75 + (Te)  	100  	73.3  	100  	455  	Eutectic  
Dy-Th  	(Th ht,Dy ht) = (Dy) rt + (Th) rt  	12  	9  	43  	1340  	Eutectoid  
Dy-Th  	(Th ht,Dy ht) = (Th) rt  	 	78  	 	1460  	Maximum  
Dy-Ti  	L + (Dy) ht + (Dy) rt  	3  	1  	1  	1381  	unknown  
Dy-Ti  	L = (Dy) rt + (Ti) ht  	14  	3  	98  	1280  	Eutectic  
Dy-Ti  	L2 = L1 + (Ti) ht  	52  	27  	98  	1400  	Monotectic  
Dy-Ti  	(Dy) rt+ (Ti) ht = (Ti) rt  	2  	99.5  	99  	885  	Peritectoid  
Dy-Tl  	(Dy) ht = (Dy) rt + TlDy2  	4.5  	2  	33  	985  	Eutectoid  
Dy-Tl  	L = (Dy) ht + TlDy2  	21  	5  	33  	1015  	Eutectic  
Dy-Tl  	L + Tl3Dy5 = TlDy2  	28  	37  	33.5  	1190  	Peritectic  
Dy-Tl  	L = Tl3Dy5  	 	37.5  	 	1340  	Congruent  
Dy-Tl  	L = ? + TlDy  	45.5  	 	49  	1230  	Eutectic  
Dy-Tl  	L = TlDy  	 	50  	 	1300  	Congruent  
Dy-Tl  	L + TlDy = Tl5Dy3  	66  	53  	62.5  	1000  	Peritectic  
Dy-Tl  	L = Tl5Dy3 + Tl3Dy  	74  	63  	75  	930  	Eutectic  
Dy-Tl  	L = Tl3Dy  	 	75  	 	940  	Congruent  
Dy-Tl  	L = Tl3Dy + (Tl) ht  	100  	75  	100  	303  	Eutectic  
Dy-Tl  	Tl3Dy + (Tl) ht + (Tl) rt  	75  	100  	100  	230  	unknown  
Dy-Tm  	L + (Dy rt,Tm) = (Dy) ht  	27  	27  	27  	1438  	Peritectic  
Dy-V  	L2 = L1 + (V)  	98.2  	9.8  	99.9  	1881  	Monotectic  
Dy-V  	L1 = (Dy) ht + (V)  	2.6  	1.1  	100  	1373  	Eutectic  
Dy-V  	(Dy) ht = (Dy) rt + (V)  	1  	0.3  	100  	1360  	Eutectoid  
Dy-W  	L = (Dy) ht + (W)  	0.063  	0  	 	1411  	Eutectic  
Dy-W  	(Dy) ht + (Dy) rt + (W)  	0  	0  	100  	1381  	unknown  
Dy-Yb  	L1 = L2 + (Dy) ht  	49  	71  	21  	1270  	Monotectic  
Dy-Yb  	(Dy) ht = L2 + (Dy) rt  	20  	82  	19  	1230  	Eutectoid  
Dy-Yb  	L2 + (Dy) rt = (Yb) ht  	98  	14  	98  	820  	Peritectic  
Dy-Yb  	(Dy) rt + (Yb) ht + (Yb) rt  	13  	98  	98  	795  	unknown  
Dy-Zn  	(Dy) ht = (Dy) rt + ZnDy rt  	11  	2  	50  	880  	Eutectoid  
Dy-Zn  	L = (Dy) ht + ZnDy rt  	25  	12  	50  	910  	Eutectic  
Dy-Zn  	L = ZnDy rt  	 	50  	 	1070  	Congruent  
Dy-Zn  	L = ZnDy rt + Zn2Dy  	58  	50  	66.7  	940  	Eutectic  
Dy-Zn  	L = Zn2Dy  	 	66.7  	 	1040  	Congruent  
Dy-Zn  	L + Zn17Dy2 = Zn12Dy  	97.5  	89.5  	92.3  	800  	Peritectic  
Dy-Zn  	L + Zn12Dy + (Zn)  	100  	92.3  	100  	419.58  	unknown  
Dy-Zr  	(Dy) ht = L + (Dy) rt  	2  	41  	1.5  	1300  	Catatectic  
Dy-Zr  	L = (Dy) rt + (Zr) ht  	43.3  	2  	80.6  	1280  	Eutectic  
Dy-Zr  	(Dy) rt + (Zr) ht = (Zr) rt  	1  	94.1  	92.9  	890  	Peritectoid  

Found: 341 reactions
Return to Contents 

ASM Alloy Phase Diagrams Center, P. Villars, editor-in-chief; H. Okamoto and K. Cenzual, section editors;
http://www1.asminternational.org/AsmEnterprise/APD, ASM International, Materials Park, OH, USA, 2006-2015
© ASM International 2015. All Rights Reserved. Version 1.0.5.0

 	Alloy Phase Diagram Database™	Element 1: Element 2: Element 3:  
HomeExplorerSearchToolsHelp
 
Special Points Table

Return to Contents

Chemical System	Reaction	%A	%B	%C	Temperature, °C  	Reaction type  
Ag-Er  	L = (Ag) + Ag51Er14  	11.5  	3.6  	21.5  	795  	Eutectic  
Ag-Er  	L = Ag51Er14  	 	23  	 	930  	Congruent  
Ag-Er  	L = Ag51Er14 + Ag2Er  	26.5  	25.5  	33.3  	890  	Eutectic  
Ag-Er  	L = Ag2Er  	 	33.3  	 	1020  	Congruent  
Ag-Er  	L = Ag2Er + AgEr  	37  	33.3  	50  	993  	Eutectic  
Ag-Er  	L = AgEr  	 	50  	 	1195  	Congruent  
Ag-Er  	L = AgEr + (Er)  	76  	50  	199  	932  	Eutectic  
Al-Er  	L = (Al) + ErAl3  	1  	0  	25  	655  	Eutectic  
Al-Er  	L + ErAl2 = ErAl3  	17  	33.3  	25  	1070  	Peritectic  
Al-Er  	L = ErAl2  	 	33.3  	 	1455  	Congruent  
Al-Er  	L + ErAl2 = ErAl  	57  	33.3  	50  	1065  	Peritectic  
Al-Er  	L = ErAl + Er3Al2  	58  	50  	60  	1045  	Eutectic  
Al-Er  	L = Er3Al2  	 	60  	 	1060  	Congruent  
Al-Er  	L + Er3Al2 = Er2Al  	72  	60  	66.7  	1030  	Peritectic  
Al-Er  	L = Er2Al + (Er)  	78  	66.7  	98  	1005  	Eutectic  
As-Er  	L = (As) + ErAs rt  	5  	0  	50  	760  	Eutectic  
As-Er  	L = ErAs rt  	 	50  	 	>2500  	Congruent  
As-Er  	L = ErAs rt + (Er)  	96  	50  	99  	1460  	Eutectic  
Au-Er  	L = (Au) + Au4Er  	11.4  	0  	20  	734  	Eutectic  
Au-Er  	L + Au3Er = Au4Er  	19  	25  	20  	1034  	Peritectic  
Au-Er  	L = Au3Er  	 	25  	 	1196  	Congruent  
Au-Er  	L = Au3Er + Au2Er  	27  	25  	33.3  	1175  	Eutectic  
Au-Er  	L = Au2Er  	 	33.3  	 	1242  	Congruent  
Au-Er  	L = Au2Er + AuEr rt  	34.3  	33.3  	50  	1239  	Eutectic  
Au-Er  	L = AuEr rt  	 	50  	 	1710  	Congruent  
Au-Er  	L + AuEr rt = AuEr2  	70.5  	50  	66.7  	1135  	Peritectic  
Au-Er  	L = AuEr2 +(Er)  	76.6  	66.7  	100  	1051  	Eutectic  
B-Er  	L = (B) rhom1 + ErB66  	1  	0  	1.4  	2020  	Eutectic  
B-Er  	L = ErB66  	 	1.6  	 	2070  	Congruent  
B-Er  	L = ErB66 + ErB12  	3  	1.8  	7.7  	2015  	Eutectic  
B-Er  	L + ErB4 = ErB12  	7.5  	20  	7.7  	2083  	Peritectic  
B-Er  	L = ErB4  	 	20  	 	2360  	Congruent  
B-Er  	L + ErB4 = ErB2  	35  	20  	33.3  	2185  	Peritectic  
B-Er  	L = ErB2 + (Er)  	99  	33.3  	100  	1500  	Eutectic  
Bi-Er  	L = (Bi) + ErBi rt  	1  	0  	50  	269  	Eutectic  
Bi-Er  	L = ErBi rt  	 	50  	 	1807  	Congruent  
Bi-Er  	L + ErBi rt = Er5Bi3  	68  	50  	62.5  	1427  	Peritectic  
Bi-Er  	L = Er5Bi3 + (Er)  	80  	62.5  	99.5  	1160  	Eutectic  
Ce-Er  	(Ce) ht1 = (Ce) ht2 + (Ce) rt  	12  	3  	20  	700  	Eutectoid  
Ce-Er  	L + (Er) = (Ce) ht1  	62  	68  	65  	1260  	Peritectic  
C-Er  	L = (C) gra + Er0.5C0.5  	21  	3  	37  	2260  	Eutectic  
C-Er  	L = Er0.5C0.5  	 	66  	 	1950  	Congruent  
C-Er  	Er0.5C0.5 = Er15C19  	 	44.1  	 	1475  	Maximum  
C-Er  	L = Er0.5C0.5 + (Er)  	95  	81  	100  	1500  	Eutectic  
C-Er  	Er0.5C0.5 = Er15C19 + (Er)  	65  	44.1  	100  	1250  	Eutectoid  
Cl-Er  	L = (Er) + ErCl3  	26  	100  	25  	746  	Eutectic  
Cl-Er  	L = ErCl3  	 	25  	 	777  	Congruent  
Co-Er  	L = (Co) ht + Er2Co17  	7.7  	0  	10.5  	1339  	Eutectic  
Co-Er  	L = Er2Co17  	 	10.5  	 	1442  	Congruent  
Co-Er  	L = Er2Co17 + ErCo5 ht  	13  	10.5  	16.7  	1330  	Eutectic  
Co-Er  	L + Er2Co7 = ErCo5 ht  	13.5  	22.2  	16.7  	1340  	Peritectic  
Co-Er  	ErCo5 ht = Co17Er2 + Er2Co7  	16.7  	10.5  	22.2  	1240  	Eutectoid  
Co-Er  	L + ErCo3 = Er2Co7  	15  	23  	22.2  	1363  	Peritectic  
Co-Er  	L = ErCo3  	 	25  	 	1395  	Congruent  
Co-Er  	L + ErCo3 = ErCo2 rt  	36  	25  	33.3  	1347  	Peritectic  
Co-Er  	L = ErCo2 rt + Er12Co7  	56.25  	33.3  	63.2  	795  	Eutectic  
Co-Er  	L = Er12Co7  	 	63.2  	 	825  	Congruent  
Co-Er  	L = Er12Co7 + Er3Co  	67.5  	63.2  	75  	805  	Eutectic  
Co-Er  	L + (Er) = Er3Co  	70  	100  	75  	912  	Peritectic  
Cr-Er  	L = (Cr) + (Er)  	89  	0  	100  	1414.6  	Eutectic  
Cu-Er  	L = (Cu) + Cu5Er  	9.5  	0  	16.7  	895  	Eutectic  
Cu-Er  	L + Cu5Er + Cu9Er2  	16.7  	16.7  	18.2  	1005  	unknown  
Cu-Er  	L = Cu9Er2  	 	18.2  	 	1010  	Congruent  
Cu-Er  	L + Cu9Er2 = Cu7Er2  	27  	18.2  	22.2  	940  	Peritectic  
Cu-Er  	L = Cu7Er2 + Cu2Er  	30  	22.2  	33.3  	885  	Eutectic  
Cu-Er  	L = Cu2Er  	 	33.3  	 	935  	Congruent  
Cu-Er  	L = Cu2Er + CuEr  	38.5  	33.3  	50  	905  	Eutectic  
Cu-Er  	L = CuEr  	 	50  	 	1055  	Congruent  
Cu-Er  	L = CuEr + (Er)  	69.5  	50  	100  	880  	Eutectic  
Dy-Er  	L + (Dy rt,Er) = (Dy) ht  	48  	50  	49  	1470  	Peritectic  
Er-Fe  	L = (Er) + ErFe2  	30  	0  	66.7  	915  	Eutectic  
Er-Fe  	L = ErFe2  	 	66.7  	 	1360  	Congruent  
Er-Fe  	L + ErFe2 = ErFe3  	76  	66.7  	75  	1345  	Peritectic  
Er-Fe  	L + ErFe3 = Er6Fe23  	80  	75  	79.3  	1330  	Peritectic  
Er-Fe  	L = Er6Fe23 = Er2Fe17  	81.5  	79.3  	89.5  	1310  	Eutectic  
Er-Fe  	L + (Fe) ht = Er2Fe17  	88  	98.6  	89.5  	1355  	Peritectic  
Er-Fe  	(Fe) rt = L + (Fe) ht  	98.7  	90  	99.5  	1835  	Catatectic  
Er-Fe  	Er2Fe17 + (Fe) ht + (Fe) rt  	89.5  	100  	100  	912  	unknown  
Er-Ga  	L = (Er) + Er5Ga3 ht  	20  	0  	37.5  	1040  	Eutectic  
Er-Ga  	L = Er5Ga3 ht  	 	37.5  	 	1320  	Congruent  
Er-Ga  	L = Er5Ga3 ht + ErGa  	47  	37.5  	50  	1290  	Eutectic  
Er-Ga  	L = ErGa  	 	50  	 	1340  	Congruent  
Er-Ga  	L = ErGa + Er3Ga5  	57  	50  	62.5  	1250  	Eutectic  
Er-Ga  	L = Er3Ga5  	 	62.5  	 	1300  	Congruent  
Er-Ga  	L + Er3G5 + ErGa2  	62.5  	62.5  	66.7  	1280  	unknown  
Er-Ga  	L + ErGa2 = ErGa3  	80  	66.7  	75  	960  	Peritectic  
Er-Ga  	L + ErGa3 = ErGa6  	99  	75  	85.7  	248  	Peritectic  
Er-Ga  	L + ErGa6 + (Ga)  	100  	85.7  	100  	29.7741  	unknown  
Er-Gd  	L + (Gd rt, Er) = (Gd) ht  	25  	25  	25  	1475  	Peritectic  
Er-Ge  	L = (Er) + Er5Ge3  	12  	0  	37  	1322  	Eutectic  
Er-Ge  	L = Er5Ge3  	 	37.5  	 	1950  	Congruent  
Er-Ge  	L + Er5Ge3 + Er5Ge4  	44.4  	38  	44.4  	1875  	unknown  
Er-Ge  	L + Er11Ge10 =ErGe  	56.5  	47.6  	50  	1451  	Peritectic  
